,p00739_f001,p00739_f002,p00739_f003,p00739_f004,p00739_f005,p00739_f006,p00739_f007,p00739_f008,p00739_f009,p00739_f010,p00739_f011
865,2020/09/02,--,--,3799.0000,120240.0000,2336.0000,560.0000,--,--,5843.0000,5426.0000
864,2020/09/03,--,--,2552.0000,116199.0000,3936.0000,1600.0000,--,--,5811.0000,5413.0000
863,2020/09/04,--,--,1718.0000,108601.0000,4336.0000,400.0000,--,--,5735.0000,5337.0000
862,2020/09/07,--,--,1618.0000,110899.0000,4436.0000,100.0000,--,--,5723.0000,5309.0000
861,2020/09/08,--,--,1618.0000,110226.0000,4076.0000,-360.0000,--,--,5674.0000,5309.0000
860,2020/09/09,--,--,1618.0000,105549.0000,4836.0000,760.0000,--,--,5591.0000,5280.0000
859,2020/09/10,--,--,718.0000,116835.0000,4836.0000,0.0000,--,--,5685.0000,5280.0000
858,2020/09/11,--,--,273.0000,115882.0000,5236.0000,400.0000,--,--,5700.0000,5280.0000
857,2020/09/14,--,--,5.0000,122196.0000,5316.0000,80.0000,--,--,5709.0000,5300.0000
856,2020/09/15,--,--,0.0000,122325.0000,2817.0000,-2499.0000,--,--,5740.0000,5883.0000
855,2020/09/16,--,--,0.0000,126663.0000,2517.0000,-300.0000,--,--,5751.0000,5883.0000
854,2020/09/17,--,--,0.0000,126193.0000,2436.0000,-81.0000,--,--,5758.0000,5883.0000
853,2020/09/18,--,--,0.0000,137826.0000,2436.0000,0.0000,--,--,5800.0000,5883.0000
852,2020/09/21,--,--,0.0000,131799.0000,2216.0000,-220.0000,--,--,5776.0000,5883.0000
851,2020/09/22,--,--,0.0000,118340.0000,2216.0000,0.0000,--,--,5663.0000,5883.0000
850,2020/09/23,--,--,0.0000,117649.0000,2216.0000,0.0000,--,--,5639.0000,5883.0000
849,2020/09/24,--,--,0.0000,117669.0000,2216.0000,0.0000,--,--,5621.0000,5883.0000
848,2020/09/25,--,--,0.0000,111641.0000,1816.0000,-400.0000,--,--,5612.0000,5883.0000
847,2020/09/28,--,--,1914.0000,104155.0000,1716.0000,-100.0000,--,--,5661.0000,5396.0000
846,2020/09/29,--,--,1881.0000,103168.0000,1098.0000,-618.0000,--,--,5679.0000,5380.0000
845,2020/09/30,--,--,1849.0000,94763.0000,0.0000,-1098.0000,--,--,5597.0000,5235.0000
844,2020/10/09,--,--,940.0000,99553.0000,909.0000,909.0000,--,--,5681.0000,5400.0000
843,2020/10/12,--,--,0.0000,110373.0000,1849.0000,940.0000,--,--,5697.0000,5400.0000
842,2020/10/13,--,--,0.0000,144436.0000,1849.0000,0.0000,--,--,5867.0000,5400.0000
841,2020/10/14,--,--,0.0000,174536.0000,1689.0000,-160.0000,--,--,6162.0000,5400.0000
840,2020/10/15,--,--,0.0000,171402.0000,1379.0000,-310.0000,--,--,6180.0000,5400.0000
839,2020/10/16,--,--,0.0000,165337.0000,1379.0000,0.0000,--,--,6181.0000,5400.0000
838,2020/10/19,--,--,0.0000,173346.0000,1099.0000,-280.0000,--,--,6380.0000,5400.0000
837,2020/10/20,--,--,0.0000,173382.0000,1059.0000,-40.0000,--,--,6399.0000,5400.0000
836,2020/10/21,--,--,0.0000,168190.0000,955.0000,-104.0000,--,--,6528.0000,5400.0000
835,2020/10/22,--,--,0.0000,174677.0000,623.0000,-332.0000,--,--,6428.0000,5400.0000
834,2020/10/23,--,--,0.0000,164395.0000,285.0000,-338.0000,--,--,6375.0000,5400.0000
833,2020/10/26,--,--,0.0000,163347.0000,223.0000,-62.0000,--,--,6371.0000,5400.0000
832,2020/10/27,--,--,0.0000,172254.0000,223.0000,0.0000,--,--,6407.0000,5400.0000
831,2020/10/28,--,--,3046.0000,183187.0000,163.0000,-60.0000,--,--,6553.0000,6708.0000
830,2020/10/29,--,--,3006.0000,216527.0000,163.0000,0.0000,--,--,6706.0000,7023.0000
829,2020/10/30,--,--,2803.0000,191869.0000,0.0000,-163.0000,--,--,6817.0000,7110.0000
828,2020/11/02,--,--,2783.0000,204183.0000,--,--,--,--,6846.0000,7190.0000
827,2020/11/03,--,--,2783.0000,192940.0000,--,--,--,--,6971.0000,7190.0000
826,2020/11/04,--,--,2783.0000,216282.0000,--,--,--,--,7180.0000,7594.0000
825,2020/11/05,--,--,2783.0000,205195.0000,--,--,--,--,7250.0000,7594.0000
824,2020/11/06,--,--,2783.0000,194332.0000,--,--,--,--,7061.0000,7594.0000
823,2020/11/09,--,--,2783.0000,215407.0000,--,--,--,--,7247.0000,7636.0000
822,2020/11/10,--,--,2783.0000,210366.0000,--,--,--,--,7443.0000,7686.0000
821,2020/11/11,--,--,2783.0000,225906.0000,--,--,--,--,7433.0000,8265.0000
820,2020/11/12,--,--,2783.0000,232368.0000,--,--,--,--,7621.0000,8400.0000
819,2020/11/13,--,--,2783.0000,255367.0000,--,--,--,--,7697.0000,8700.0000
818,2020/11/16,--,--,2783.0000,265698.0000,--,--,--,--,8148.0000,9657.0000
817,2020/11/17,--,--,1663.0000,231831.0000,1120.0000,1120.0000,--,--,8018.0000,9300.0000
816,2020/11/18,--,--,1663.0000,227660.0000,1120.0000,0.0000,--,--,7769.0000,8686.0000
815,2020/11/19,--,--,1663.0000,227352.0000,1120.0000,0.0000,--,--,7706.0000,8600.0000
814,2020/11/20,--,--,1663.0000,222468.0000,320.0000,-800.0000,--,--,7512.0000,8500.0000
813,2020/11/23,--,--,0.0000,218198.0000,1663.0000,1343.0000,--,--,7590.0000,8500.0000
812,2020/11/24,--,--,0.0000,218152.0000,1663.0000,0.0000,--,--,7395.0000,8500.0000
811,2020/11/25,--,--,0.0000,202765.0000,1663.0000,0.0000,--,--,7322.0000,8837.0000
810,2020/11/26,--,--,4334.0000,214214.0000,746.0000,-917.0000,--,--,7427.0000,7617.0000
809,2020/11/27,--,--,4330.0000,208729.0000,506.0000,-240.0000,--,--,7397.0000,7617.0000
808,2020/11/30,--,--,4295.0000,209655.0000,0.0000,-506.0000,--,--,7614.0000,7875.0000
807,2020/12/01,--,--,4295.0000,201898.0000,--,--,--,--,7562.0000,7710.0000
806,2020/12/02,--,--,4295.0000,210231.0000,--,--,--,--,7375.0000,7593.0000
805,2020/12/03,--,--,3795.0000,198964.0000,--,--,--,--,7332.0000,7649.0000
804,2020/12/04,--,--,3695.0000,196603.0000,--,--,--,--,7175.0000,7566.0000
803,2020/12/07,--,--,3695.0000,181188.0000,--,--,--,--,7172.0000,7566.0000
802,2020/12/08,--,--,3695.0000,174923.0000,--,--,--,--,7182.0000,7600.0000
801,2020/12/09,--,--,3595.0000,172383.0000,--,--,--,--,7107.0000,7496.0000
800,2020/12/10,--,--,3595.0000,168805.0000,--,--,--,--,6837.0000,7250.0000
799,2020/12/11,--,--,3595.0000,153289.0000,--,--,--,--,6776.0000,7200.0000
798,2020/12/14,--,--,2355.0000,145709.0000,1240.0000,1240.0000,--,--,6817.0000,7200.0000
797,2020/12/15,--,--,2355.0000,141918.0000,1240.0000,0.0000,--,--,6794.0000,7180.0000
796,2020/12/16,--,--,2355.0000,146570.0000,1240.0000,0.0000,--,--,6756.0000,7092.0000
795,2020/12/17,--,--,1904.0000,143990.0000,800.0000,-440.0000,--,--,6711.0000,7100.0000
794,2020/12/18,--,--,1904.0000,138629.0000,440.0000,-360.0000,--,--,6977.0000,7340.0000
793,2020/12/21,--,--,1504.0000,133210.0000,440.0000,0.0000,--,--,6798.0000,7085.0000
792,2020/12/22,--,--,1504.0000,128095.0000,320.0000,-120.0000,--,--,6587.0000,7085.0000
791,2020/12/23,--,--,1504.0000,131451.0000,0.0000,-320.0000,--,--,6411.0000,7085.0000
790,2020/12/24,--,--,1504.0000,120573.0000,--,--,--,--,6494.0000,6600.0000
789,2020/12/25,--,--,1504.0000,116826.0000,1504.0000,1504.0000,--,--,6524.0000,6600.0000
788,2020/12/28,--,--,0.0000,140436.0000,1504.0000,0.0000,--,--,6220.0000,7079.0000
787,2020/12/29,--,--,6693.0000,137291.0000,1504.0000,0.0000,--,--,6088.0000,6092.0000
786,2020/12/30,--,--,4784.0000,120416.0000,1504.0000,0.0000,--,--,6154.0000,6164.0000
785,2020/12/31,--,--,2571.0000,101602.0000,0.0000,-1504.0000,--,--,6249.0000,6231.0000
784,2021/01/04,--,--,1550.0000,101891.0000,--,--,--,--,6321.0000,6251.0000
783,2021/01/05,--,--,907.0000,100494.0000,--,--,--,--,6429.0000,6388.0000
782,2021/01/06,--,--,882.0000,106724.0000,--,--,--,--,6578.0000,6404.0000
781,2021/01/07,--,--,870.0000,113814.0000,--,--,--,--,6610.0000,6670.0000
780,2021/01/08,--,--,870.0000,109705.0000,--,--,--,--,6658.0000,6670.0000
779,2021/01/11,--,--,0.0000,105553.0000,870.0000,870.0000,--,--,6696.0000,6606.0000
778,2021/01/12,--,--,0.0000,107515.0000,870.0000,0.0000,--,--,6679.0000,6606.0000
777,2021/01/13,--,--,0.0000,117729.0000,870.0000,0.0000,--,--,6866.0000,6606.0000
776,2021/01/14,--,--,0.0000,108359.0000,424.0000,-446.0000,--,--,6799.0000,6606.0000
775,2021/01/15,--,--,0.0000,114343.0000,0.0000,-424.0000,--,--,6767.0000,6606.0000
774,2021/01/18,--,--,0.0000,121756.0000,--,--,--,--,6879.0000,6606.0000
773,2021/01/19,--,--,0.0000,141434.0000,--,--,--,--,7059.0000,6606.0000
772,2021/01/20,--,--,0.0000,142966.0000,--,--,--,--,7169.0000,6606.0000
771,2021/01/21,--,--,0.0000,140056.0000,--,--,--,--,7002.0000,6606.0000
770,2021/01/22,--,--,0.0000,141010.0000,--,--,--,--,6850.0000,6606.0000
769,2021/01/25,--,--,0.0000,133398.0000,--,--,--,--,6871.0000,6606.0000
768,2021/01/26,--,--,0.0000,137667.0000,--,--,--,--,7040.0000,6606.0000
767,2021/01/27,--,--,14004.0000,190738.0000,--,--,--,--,7283.0000,7128.0000
766,2021/01/28,--,--,7853.0000,146834.0000,--,--,--,--,7236.0000,7144.0000
765,2021/01/29,--,--,5744.0000,150540.0000,--,--,--,--,7109.0000,6941.0000
764,2021/02/01,--,--,5667.0000,159091.0000,--,--,--,--,7313.0000,7136.0000
763,2021/02/02,--,--,5630.0000,164167.0000,--,--,--,--,7456.0000,7338.0000
762,2021/02/03,--,--,5582.0000,162388.0000,--,--,--,--,7408.0000,7319.0000
761,2021/02/04,--,--,4482.0000,182561.0000,1000.0000,1000.0000,--,--,7468.0000,7549.0000
760,2021/02/05,--,--,4482.0000,190487.0000,1000.0000,0.0000,--,--,7641.0000,7605.0000
759,2021/02/08,--,--,4482.0000,180228.0000,1000.0000,0.0000,--,--,7781.0000,7674.0000
758,2021/02/09,--,--,4460.0000,178543.0000,700.0000,-300.0000,--,--,7806.0000,7755.0000
757,2021/02/10,--,--,4460.0000,143211.0000,700.0000,0.0000,--,--,7731.0000,7602.0000
756,2021/02/18,--,--,4460.0000,172627.0000,700.0000,0.0000,--,--,8528.0000,7602.0000
755,2021/02/19,--,--,4460.0000,163846.0000,0.0000,-700.0000,--,--,8772.0000,8438.0000
754,2021/02/22,--,--,200.0000,172649.0000,4460.0000,4460.0000,--,--,9192.0000,9253.0000
753,2021/02/23,--,--,0.0000,160999.0000,4460.0000,0.0000,--,--,9312.0000,7607.0000
752,2021/02/24,--,--,46089.0000,166334.0000,4460.0000,0.0000,--,--,9226.0000,9226.0000
751,2021/02/25,--,--,24922.0000,166048.0000,2520.0000,-1940.0000,--,--,9430.0000,9430.0000
750,2021/02/26,--,--,8604.0000,181015.0000,0.0000,-2520.0000,--,--,9669.0000,9669.0000
749,2021/03/01,--,--,5690.0000,160636.0000,--,--,--,--,9587.0000,9848.0000
748,2021/03/02,--,--,4983.0000,150655.0000,--,--,--,--,9062.0000,9607.0000
747,2021/03/03,--,--,4124.0000,149090.0000,--,--,--,--,9125.0000,9602.0000
746,2021/03/04,--,--,3776.0000,161217.0000,--,--,--,--,9243.0000,9519.0000
745,2021/03/05,--,--,3776.0000,159748.0000,--,--,--,--,9269.0000,9519.0000
744,2021/03/08,--,--,3722.0000,163745.0000,--,--,--,--,9503.0000,9749.0000
743,2021/03/09,--,--,3722.0000,157393.0000,--,--,--,--,9207.0000,9434.0000
742,2021/03/10,--,--,3715.0000,154887.0000,--,--,--,--,8836.0000,9100.0000
741,2021/03/11,--,--,3713.0000,156585.0000,--,--,--,--,8865.0000,9150.0000
740,2021/03/12,--,--,3713.0000,156744.0000,--,--,--,--,8909.0000,9150.0000
739,2021/03/15,--,--,3671.0000,163534.0000,--,--,--,--,8770.0000,9209.0000
738,2021/03/16,--,--,3637.0000,159237.0000,--,--,--,--,8699.0000,8905.0000
737,2021/03/17,--,--,3321.0000,171686.0000,--,--,--,--,8433.0000,8762.0000
736,2021/03/18,--,--,3321.0000,156961.0000,200.0000,200.0000,--,--,8284.0000,8680.0000
735,2021/03/19,--,--,2121.0000,174229.0000,1220.0000,1020.0000,--,--,8045.0000,8680.0000
734,2021/03/22,--,--,2101.0000,151573.0000,1020.0000,-200.0000,--,--,7949.0000,8166.0000
733,2021/03/23,--,--,2000.0000,153324.0000,1020.0000,0.0000,--,--,8005.0000,8131.0000
732,2021/03/24,--,--,0.0000,151308.0000,2360.0000,1340.0000,--,--,8059.0000,8215.0000
731,2021/03/25,--,--,0.0000,147296.0000,2360.0000,0.0000,--,--,8223.0000,8215.0000
730,2021/03/26,--,--,0.0000,156264.0000,2300.0000,-60.0000,--,--,8273.0000,8683.0000
729,2021/03/29,--,--,5904.0000,145522.0000,1710.0000,-590.0000,--,--,8323.0000,8524.0000
728,2021/03/30,--,--,5600.0000,141294.0000,1610.0000,-100.0000,--,--,8323.0000,8495.0000
727,2021/03/31,--,--,5521.0000,145987.0000,0.0000,-1610.0000,--,--,8473.0000,8619.0000
726,2021/04/01,--,--,5585.0000,193762.0000,--,--,--,--,8714.0000,8915.0000
725,2021/04/02,--,--,5585.0000,184426.0000,--,--,--,--,8850.0000,8947.0000
724,2021/04/06,--,--,5604.0000,207789.0000,--,--,--,--,9087.0000,9299.0000
723,2021/04/07,--,--,5602.0000,209920.0000,--,--,--,--,9094.0000,9170.0000
722,2021/04/08,--,--,5250.0000,204438.0000,--,--,--,--,8827.0000,8878.0000
721,2021/04/09,--,--,5240.0000,193347.0000,--,--,--,--,8600.0000,8740.0000
720,2021/04/12,--,--,5240.0000,187355.0000,--,--,--,--,8550.0000,8716.0000
719,2021/04/13,--,--,5240.0000,195905.0000,--,--,--,--,8525.0000,8700.0000
718,2021/04/14,--,--,4840.0000,205229.0000,--,--,--,--,8749.0000,8988.0000
717,2021/04/15,--,--,4840.0000,218466.0000,--,--,--,--,8950.0000,8988.0000
716,2021/04/16,--,--,4840.0000,224406.0000,--,--,--,--,8964.0000,8988.0000
715,2021/04/19,--,--,4720.0000,244089.0000,--,--,--,--,9127.0000,9358.0000
714,2021/04/20,--,--,4621.0000,256134.0000,--,--,--,--,9326.0000,9534.0000
713,2021/04/21,--,--,4378.0000,281086.0000,--,--,--,--,9434.0000,9879.0000
712,2021/04/22,--,--,4168.0000,258319.0000,--,--,--,--,9301.0000,9869.0000
711,2021/04/23,--,--,3000.0000,263698.0000,--,--,--,--,9227.0000,9686.0000
710,2021/04/26,--,--,0.0000,263949.0000,3000.0000,3000.0000,--,--,9365.0000,9904.0000
709,2021/04/27,--,--,0.0000,241446.0000,3000.0000,0.0000,--,--,8986.0000,9578.0000
708,2021/04/28,--,--,15142.0000,242196.0000,3000.0000,0.0000,--,--,9004.0000,9172.0000
707,2021/04/29,--,--,7375.0000,236932.0000,1184.0000,-1816.0000,--,--,9112.0000,9256.0000
706,2021/04/30,--,--,3291.0000,212979.0000,0.0000,-1184.0000,--,--,9013.0000,9189.0000
705,2021/05/06,--,--,3114.0000,234562.0000,--,--,--,--,9261.0000,9399.0000
704,2021/05/07,--,--,2679.0000,266361.0000,--,--,--,--,9553.0000,9439.0000
703,2021/05/10,--,--,2562.0000,257842.0000,--,--,--,--,9855.0000,10112.0000
702,2021/05/11,--,--,2284.0000,252418.0000,--,--,--,--,9806.0000,10112.0000
701,2021/05/12,--,--,2204.0000,254052.0000,--,--,--,--,9849.0000,10196.0000
700,2021/05/13,--,--,1991.0000,241228.0000,--,--,--,--,9937.0000,10368.0000
699,2021/05/14,--,--,1986.0000,237547.0000,--,--,--,--,9688.0000,9883.0000
698,2021/05/17,--,--,1975.0000,254197.0000,--,--,--,--,9932.0000,10162.0000
697,2021/05/18,--,--,1946.0000,260069.0000,--,--,--,--,10023.0000,10255.0000
696,2021/05/19,--,--,1922.0000,252264.0000,--,--,--,--,9907.0000,10377.0000
695,2021/05/20,--,--,1921.0000,250997.0000,--,--,--,--,9705.0000,10185.0000
694,2021/05/21,--,--,1914.0000,243803.0000,--,--,--,--,9520.0000,9999.0000
693,2021/05/24,--,--,1880.0000,227509.0000,0.0000,0.0000,--,--,9270.0000,9713.0000
692,2021/05/25,--,--,1880.0000,225624.0000,1540.0000,1540.0000,--,--,9268.0000,9728.0000
691,2021/05/26,--,--,0.0000,225102.0000,1540.0000,0.0000,--,--,9190.0000,10183.0000
690,2021/05/27,--,--,13965.0000,230773.0000,1540.0000,0.0000,--,--,8701.0000,9027.0000
689,2021/05/28,--,--,7028.0000,225188.0000,1540.0000,0.0000,--,--,8612.0000,8924.0000
688,2021/05/31,--,--,2518.0000,206205.0000,0.0000,-1540.0000,--,--,8638.0000,8999.0000
687,2021/06/01,--,--,1390.0000,194465.0000,--,--,--,--,8851.0000,9315.0000
686,2021/06/02,--,--,765.0000,196998.0000,--,--,--,--,9052.0000,9676.0000
685,2021/06/03,--,--,676.0000,204557.0000,--,--,--,--,9065.0000,9558.0000
684,2021/06/04,--,--,637.0000,209178.0000,--,--,--,--,8902.0000,9378.0000
683,2021/06/07,--,--,662.0000,227015.0000,--,--,--,--,8748.0000,8790.0000
682,2021/06/08,--,--,647.0000,234918.0000,--,--,--,--,8469.0000,8949.0000
681,2021/06/09,--,--,253.0000,244967.0000,--,--,--,--,8460.0000,8762.0000
680,2021/06/10,--,--,253.0000,261630.0000,--,--,--,--,8365.0000,8762.0000
679,2021/06/11,--,--,213.0000,244377.0000,--,--,--,--,8409.0000,8782.0000
678,2021/06/15,--,--,213.0000,245682.0000,--,--,--,--,8395.0000,8782.0000
677,2021/06/16,--,--,213.0000,244443.0000,--,--,--,--,8551.0000,8782.0000
676,2021/06/17,--,--,213.0000,245219.0000,--,--,--,--,8488.0000,8833.0000
675,2021/06/18,--,--,213.0000,246014.0000,--,--,--,--,8435.0000,8833.0000
674,2021/06/21,--,--,213.0000,265693.0000,--,--,--,--,8339.0000,8833.0000
673,2021/06/22,--,--,213.0000,255076.0000,31.0000,31.0000,--,--,8452.0000,8833.0000
672,2021/06/23,--,--,213.0000,269021.0000,213.0000,182.0000,--,--,8671.0000,8850.0000
671,2021/06/24,--,--,31.0000,270564.0000,213.0000,0.0000,--,--,8791.0000,8850.0000
670,2021/06/25,--,--,0.0000,276367.0000,213.0000,0.0000,--,--,8834.0000,8785.0000
669,2021/06/28,--,--,8448.0000,291888.0000,213.0000,0.0000,--,--,8885.0000,8968.0000
668,2021/06/29,--,--,5802.0000,278926.0000,39.0000,-174.0000,--,--,8900.0000,8973.0000
667,2021/06/30,--,--,1975.0000,299290.0000,0.0000,-39.0000,--,--,9140.0000,9254.0000
666,2021/07/01,--,--,1796.0000,315698.0000,--,--,--,--,9251.0000,9387.0000
665,2021/07/02,--,--,1679.0000,312228.0000,--,--,--,--,9425.0000,9435.0000
664,2021/07/05,--,--,1440.0000,300313.0000,--,--,--,--,9424.0000,9651.0000
663,2021/07/06,--,--,1000.0000,284814.0000,--,--,--,--,9287.0000,9416.0000
662,2021/07/07,--,--,961.0000,269074.0000,--,--,--,--,9029.0000,9285.0000
661,2021/07/08,--,--,861.0000,265776.0000,--,--,--,--,9074.0000,9264.0000
660,2021/07/09,--,--,837.0000,268948.0000,--,--,--,--,9129.0000,9300.0000
659,2021/07/12,--,--,837.0000,261755.0000,--,--,--,--,9209.0000,9033.0000
658,2021/07/13,--,--,838.0000,255404.0000,--,--,--,--,9013.0000,9009.0000
657,2021/07/14,--,--,825.0000,263035.0000,100.0000,100.0000,--,--,9118.0000,9339.0000
656,2021/07/15,--,--,523.0000,259424.0000,187.0000,87.0000,--,--,9177.0000,9324.0000
655,2021/07/16,--,--,434.0000,258382.0000,187.0000,0.0000,--,--,9115.0000,9260.0000
654,2021/07/19,--,--,433.0000,268920.0000,187.0000,0.0000,--,--,9251.0000,9375.0000
653,2021/07/20,--,--,433.0000,255738.0000,205.0000,18.0000,--,--,8922.0000,9300.0000
652,2021/07/21,--,--,295.0000,240176.0000,205.0000,0.0000,--,--,8937.0000,9300.0000
651,2021/07/22,--,--,231.0000,252993.0000,269.0000,64.0000,--,--,9085.0000,9300.0000
650,2021/07/23,--,--,231.0000,275049.0000,169.0000,-100.0000,--,--,9254.0000,9300.0000
649,2021/07/26,--,--,231.0000,272491.0000,69.0000,-100.0000,--,--,9275.0000,10222.0000
648,2021/07/27,--,--,0.0000,282521.0000,0.0000,-69.0000,--,--,9305.0000,9324.0000
647,2021/07/28,--,--,7421.0000,272381.0000,231.0000,231.0000,--,--,9211.0000,9271.0000
646,2021/07/29,--,--,3192.0000,260663.0000,231.0000,0.0000,--,--,9199.0000,9271.0000
645,2021/07/30,--,--,1834.0000,245123.0000,0.0000,-231.0000,--,--,9064.0000,9138.0000
644,2021/08/02,--,--,1556.0000,232474.0000,--,--,--,--,8953.0000,9144.0000
